Expiry,Class,Scheme,IC,Entropy,Length,Z_Length,TFIDF_S,TFIDF_H,TFIDF_J
0,0,0,0.104761906,2.98709,21,-0.3167156938392388,0.0,0.0,0.0
0,0,0,0.12025366,4.029267,423,3.350930242225033,0.0,0.0,1.222392421336448
0,1,0,0.052419353,3.6945488,32,-0.5262379985785725,0.0,0.0,0.0
58935590,0,0,0.08504705,3.8854108,152,1.7190441286900033,0.0,0.0,0.0
58935590,0,0,0.14285715,2.1556392,8,-0.9752944240322876,0.0,0.0,0.0
27925190,0,0,0.08669355,3.316428,32,-0.5262379985785725,0.0,0.0,0.0
0,0,0,0.028571429,3.240224,15,-0.8443196332749541,0.0,0.0,0.0
0,0,0,0.060606062,3.814436,55,-0.0958922575187621,0.0,1.4150374992788437,0.0
0,0,0,0.047138046,4.063114,55,-0.0958922575187621,0.0,1.4150374992788437,0.0
58935590,1,0,0.09784871,3.5822146,132,1.3448304408119074,0.0,0.0,0.0
58853716,0,0,0.056216218,4.0629735,75,0.9664619444603689,0.0,0.0,0.0
27404116,0,0,0.04541063,4.0152125,46,0.1816948455585494,0.0,0.0,0.0
0,0,0,1.0,-0.0,1,-1.0360472044615154,0.0,0.0,0.0
27404225,1,0,0.051171172,4.0316963,75,0.9664619444603689,0.0,0.0,0.0
27328532,1,0,0.055495497,3.965793,75,0.9664619444603689,0.0,0.0,0.0
0,0,0,0.0,1.0,2,-1.0089862700166252,0.0,0.0,0.0
27319533,0,0,1.0,-0.0,1,-1.0360472044615154,0.0,0.0,0.0
35454941,0,0,0.083372146,3.349184,114,0.09312005194955829,0.0,0.0,2.050626073069968
190542941,0,0,0.1,2.9990795,25,-0.6286302606084297,0.0,0.0,2.050626073069968
35454942,0,0,0.13191669,3.6592257,98,-0.036632813229405856,0.0,0.0,2.050626073069968
0,0,0,1.0,-0.0,1,-0.823259558376876,0.0,0.0,2.050626073069968
0,0,0,1.0,-0.0,1,-0.823259558376876,0.0,0.0,2.050626073069968
0,0,0,1.0,-0.0,1,-0.823259558376876,0.0,0.0,2.050626073069968
